name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
AK-47 | Aquamarine Revenge (Field-Tested)@23.13@21.9735@33.84@33.1632@skinwallet@csdeals@10.03
Cmdr. Frank 'Wet Sox' Baroud | SEAL Frogman@27.85@26.4575@44.99@44.0902@skinwallet@csdeals@16.24
Cmdr. Mae 'Dead Cold' Jamison | SWAT@5.26@4.997@8.47@8.300600000000001@skinwallet@csdeals@3.04
Crasswater The Forgotten | Guerrilla Warfare@5.27@5.006499999999999@8.99@8.8102@skinwallet@csdeals@3.54
CS:GO Weapon Case@63.89@60.6955@86.0@84.28@skinwallet@csdeals@20.39
CS:GO Weapon Case 3@5.85@5.557499999999999@8.73@8.5554@skinwallet@csdeals@2.71
CZ75-Auto | Army Sheen (Factory New)@1.78@1.6909999999999998@5.0@4.9@skinwallet@csdeals@3.12
CZ75-Auto | Circaetus (Factory New)@0.29@0.2754999999999999@17.0@16.66@skinwallet@csdeals@16.37
CZ75-Auto | Distressed (Factory New)@0.36@0.3419999999999999@5.0@4.9@skinwallet@csdeals@4.54
CZ75-Auto | Eco (Factory New)@2.15@2.0425@18.0@17.64@skinwallet@csdeals@15.49
CZ75-Auto | Emerald (Factory New)@17.31@16.444499999999998@24.99@24.4902@skinwallet@csdeals@7.18
CZ75-Auto | Midnight Palm (Factory New)@1.24@1.178@20.0@19.6@skinwallet@csdeals@18.36
CZ75-Auto | Midnight Palm (Field-Tested)@1.11@1.0545@15.0@14.7@skinwallet@csdeals@13.59
CZ75-Auto | Pole Position (Factory New)@1.19@1.1304999999999998@20.0@19.6@skinwallet@csdeals@18.41
CZ75-Auto | Tigris (Factory New)@1.68@1.596@12.0@11.76@skinwallet@csdeals@10.08
CZ75-Auto | Tuxedo (Factory New)@1.43@1.3584999999999998@16.0@15.68@skinwallet@csdeals@14.25
CZ75-Auto | Twist (Factory New)@1.85@1.7575@8.0@7.84@skinwallet@csdeals@5.99
Desert Eagle | Code Red (Field-Tested)@16.93@16.083499999999997@23.95@23.471@skinwallet@csdeals@6.54
Desert Eagle | Conspiracy (Factory New)@6.15@5.8425@19.99@19.5902@skinwallet@csdeals@13.44
Desert Eagle | Conspiracy (Field-Tested)@3.53@3.3534999999999995@6.09@5.9682@skinwallet@csdeals@2.44
Desert Eagle | Directive (Minimal Wear)@0.7@0.6649999999999999@3.0@2.94@skinwallet@csdeals@2.24
Desert Eagle | Emerald Jörmungandr (Factory New)@239.02@227.069@299.99@293.9902@skinwallet@csdeals@54.97
Desert Eagle | Kumicho Dragon (Field-Tested)@10.99@10.4405@14.99@14.6902@skinwallet@csdeals@3.7
Desert Eagle | Mecha Industries (Factory New)@6.66@6.327@9.99@9.7902@skinwallet@csdeals@3.13
Desert Eagle | Midnight Storm (Factory New)@19.7@18.715@30.99@30.3702@skinwallet@csdeals@10.67
Desert Eagle | Mudder (Factory New)@0.81@0.7695@6.0@5.88@skinwallet@csdeals@5.07
Desert Eagle | Ocean Drive (Well-Worn)@15.1@14.345@18.99@18.6102@skinwallet@csdeals@3.51
Desert Eagle | Printstream (Battle-Scarred)@28.17@26.7615@37.99@37.2302@skinwallet@csdeals@9.06
Desert Eagle | Printstream (Minimal Wear)@52.26@49.647@65.99@64.6702@skinwallet@csdeals@12.41
Desert Eagle | Urban DDPAT (Minimal Wear)@1.6@1.52@4.0@3.92@skinwallet@csdeals@2.32
Dual Berettas | Briar (Minimal Wear)@1.32@1.254@4.0@3.92@skinwallet@csdeals@2.6
Dual Berettas | Cartel (Factory New)@1.19@1.1304999999999998@11.0@10.78@skinwallet@csdeals@9.59
Dual Berettas | Dezastre (Well-Worn)@1.67@1.5864999999999998@3.8@3.724@skinwallet@csdeals@2.05
Dual Berettas | Drift Wood (Factory New)@1.2@1.14@20.0@19.6@skinwallet@csdeals@18.4
Dual Berettas | Dualing Dragons (Factory New)@1.22@1.159@12.0@11.76@skinwallet@csdeals@10.54
Dual Berettas | Elite 1.6 (Factory New)@0.19@0.1805@5.0@4.9@skinwallet@csdeals@4.71
Dual Berettas | Melondrama (Field-Tested)@1.3@1.235@4.1@4.018@skinwallet@csdeals@2.72
Dual Berettas | Switch Board (Factory New)@1.4@1.3299999999999998@11.0@10.78@skinwallet@csdeals@9.38
Easy Peasy Pin@2.29@2.1755@5.0@4.9@skinwallet@csdeals@2.61
eSports 2013 Case@29.84@28.348@49.99@48.9902@skinwallet@csdeals@19.15
FAMAS | Commemoration (Factory New)@22.91@21.7645@28.0@27.44@skinwallet@csdeals@4.53
FAMAS | Cyanospatter (Factory New)@0.9@0.855@8.0@7.84@skinwallet@csdeals@6.94
FAMAS | Meow 36 (Factory New)@0.34@0.323@15.0@14.7@skinwallet@csdeals@14.36
FAMAS | Roll Cage (Battle-Scarred)@2.17@2.0615@6.0@5.88@skinwallet@csdeals@3.71
FAMAS | Teardown (Factory New)@0.81@0.7695@17.0@16.66@skinwallet@csdeals@15.85
FAMAS | ZX Spectron (Minimal Wear)@1.67@1.5864999999999998@5.6@5.488@skinwallet@csdeals@3.82
FAMAS | ZX Spectron (Well-Worn)@0.88@0.836@3.0@2.94@skinwallet@csdeals@2.06
Five-SeveN | Fowl Play (Battle-Scarred)@1.36@1.292@4.3@4.214@skinwallet@csdeals@2.85
Five-SeveN | Kami (Factory New)@1.09@1.0355@20.0@19.6@skinwallet@csdeals@18.51
Five-SeveN | Monkey Business (Minimal Wear)@27.87@26.4765@33.0@32.34@skinwallet@csdeals@4.47
Five-SeveN | Scumbria (Factory New)@0.39@0.3705@10.0@9.8@skinwallet@csdeals@9.41
Five-SeveN | Silver Quartz (Factory New)@0.78@0.741@3.0@2.94@skinwallet@csdeals@2.16
G3SG1 | Desert Storm (Factory New)@0.18@0.1709999999999999@4.0@3.92@skinwallet@csdeals@3.74
G3SG1 | Hunter (Factory New)@0.2@0.19@10.0@9.8@skinwallet@csdeals@9.6
G3SG1 | Murky (Factory New)@0.46@0.437@3.0@2.94@skinwallet@csdeals@2.48
G3SG1 | Orange Kimono (Field-Tested)@1.85@1.7575@4.0@3.92@skinwallet@csdeals@2.07
G3SG1 | Orange Kimono (Minimal Wear)@2.06@1.957@5.0@4.9@skinwallet@csdeals@2.84
Galil AR | Blue Titanium (Factory New)@1.33@1.2635@3.8@3.724@skinwallet@csdeals@2.39
Galil AR | Chromatic Aberration (Field-Tested)@1.11@1.0545@3.8@3.724@skinwallet@csdeals@2.61
Galil AR | Tornado (Battle-Scarred)@1.44@1.368@4.0@3.92@skinwallet@csdeals@2.48
Getaway Sally | The Professionals@27.02@25.669@33.95@33.271@skinwallet@csdeals@6.25
Glock-18 | Bullet Queen (Field-Tested)@5.77@5.4815@9.17@8.9866@skinwallet@csdeals@3.22
Glock-18 | Bunsen Burner (Factory New)@1.67@1.5864999999999998@8.0@7.84@skinwallet@csdeals@6.17
Glock-18 | Catacombs (Factory New)@0.32@0.304@7.0@6.859999999999999@skinwallet@csdeals@6.54
Glock-18 | Gamma Doppler (Factory New)@34.84@33.098@45.0@44.1@skinwallet@csdeals@9.26
Glock-18 | Gamma Doppler (Field-Tested)@20.67@19.6365@23.58@23.1084@skinwallet@csdeals@2.44
Glock-18 | Ironwork (Factory New)@0.77@0.7314999999999999@7.0@6.859999999999999@skinwallet@csdeals@6.09
Glock-18 | Moonrise (Factory New)@0.87@0.8265@3.0@2.94@skinwallet@csdeals@2.07
Glock-18 | Neo-Noir (Minimal Wear)@16.53@15.7035@24.99@24.4902@skinwallet@csdeals@7.96
Glock-18 | Off World (Factory New)@0.44@0.418@8.5@8.33@skinwallet@csdeals@7.89
Glock-18 | Ramese's Reach (Field-Tested)@8.46@8.037@12.0@11.76@skinwallet@csdeals@3.3
Glock-18 | Sacrifice (Factory New)@0.83@0.7885@8.0@7.84@skinwallet@csdeals@7.01
Glock-18 | Vogue (Factory New)@7.37@7.0015@10.92@10.7016@skinwallet@csdeals@3.33
Glock-18 | Warhawk (Factory New)@0.4@0.38@14.0@13.72@skinwallet@csdeals@13.32
Glock-18 | Wraiths (Factory New)@0.58@0.5509999999999999@9.0@8.82@skinwallet@csdeals@8.24
Guardian 2 Pin@2.42@2.299@8.0@7.84@skinwallet@csdeals@5.42
Hydra Pin@3.56@3.382@5.95@5.831@skinwallet@csdeals@2.27
Lieutenant Rex Krikey | SEAL Frogman@4.4@4.18@6.99@6.8502@skinwallet@csdeals@2.45
Lt. Commander Ricksaw | NSWC SEAL@5.87@5.5765@8.53@8.359399999999999@skinwallet@csdeals@2.49
M249 | Aztec (Factory New)@1.22@1.159@7.0@6.859999999999999@skinwallet@csdeals@5.64
M249 | Emerald Poison Dart (Factory New)@1.46@1.387@10.0@9.8@skinwallet@csdeals@8.34
M249 | System Lock (Factory New)@0.49@0.4654999999999999@6.0@5.88@skinwallet@csdeals@5.39
M4A1-S | Atomic Alloy (Field-Tested)@31.17@29.6115@37.99@37.2302@skinwallet@csdeals@6.06
M4A1-S | Atomic Alloy (Minimal Wear)@41.63@39.5485@59.99@58.7902@skinwallet@csdeals@17.16
M4A1-S | Briefing (Field-Tested)@3.68@3.496@8.0@7.84@skinwallet@csdeals@4.16
M4A1-S | Chantico's Fire (Minimal Wear)@36.19@34.3805@49.9@48.902@skinwallet@csdeals@12.71
M4A1-S | Cyrex (Field-Tested)@11.83@11.2385@15.0@14.7@skinwallet@csdeals@2.87
M4A1-S | Cyrex (Minimal Wear)@15.85@15.0575@22.0@21.56@skinwallet@csdeals@5.71
M4A1-S | Decimator (Field-Tested)@7.06@6.706999999999999@10.8@10.584@skinwallet@csdeals@3.52
M4A1-S | Decimator (Minimal Wear)@10.87@10.3265@15.87@15.552599999999998@skinwallet@csdeals@4.68
M4A1-S | Emphorosaur-S (Field-Tested)@0.75@0.7124999999999999@3.74@3.6652@skinwallet@csdeals@2.92
M4A1-S | Golden Coil (Minimal Wear)@68.4@64.98@80.0@78.4@skinwallet@csdeals@10.0
M4A1-S | Hyper Beast (Battle-Scarred)@9.38@8.911@15.4@15.092@skinwallet@csdeals@5.71
M4A1-S | Mecha Industries (Minimal Wear)@29.13@27.6735@42.19@41.3462@skinwallet@csdeals@12.22
M4A1-S | Night Terror (Well-Worn)@0.77@0.7314999999999999@5.0@4.9@skinwallet@csdeals@4.13
M4A1-S | Nightmare (Well-Worn)@4.71@4.4745@7.11@6.9678@skinwallet@csdeals@2.26
M4A1-S | Player Two (Factory New)@78.26@74.34700000000001@124.99@122.4902@skinwallet@csdeals@44.23
M4A1-S | Printstream (Well-Worn)@115.01@109.2595@156.16@153.0368@skinwallet@csdeals@38.03
M4A4 | Desolate Space (Field-Tested)@3.78@3.591@9.0@8.82@skinwallet@csdeals@5.04
M4A4 | Global Offensive (Field-Tested)@8.94@8.492999999999999@14.99@14.6902@skinwallet@csdeals@5.75
M4A4 | Hellfire (Factory New)@57.11@54.2545@69.99@68.5902@skinwallet@csdeals@11.48
M4A4 | In Living Color (Field-Tested)@3.8@3.61@29.49@28.9002@skinwallet@csdeals@25.1
M4A4 | In Living Color (Minimal Wear)@9.63@9.1485@14.99@14.6902@skinwallet@csdeals@5.06
M4A4 | Magnesium (Factory New)@0.75@0.7124999999999999@9.0@8.82@skinwallet@csdeals@8.07
M4A4 | Poly Mag (Factory New)@0.36@0.3419999999999999@17.0@16.66@skinwallet@csdeals@16.3
M4A4 | Radiation Hazard (Field-Tested)@14.09@13.3855@25.0@24.5@skinwallet@csdeals@10.41
M4A4 | Royal Paladin (Field-Tested)@4.21@3.9995@6.5@6.37@skinwallet@csdeals@2.16
M4A4 | Spider Lily (Field-Tested)@1.28@1.216@4.1@4.018@skinwallet@csdeals@2.74
M4A4 | Temukau (Field-Tested)@23.47@22.2965@27.84@27.2832@skinwallet@csdeals@3.81
M4A4 | The Battlestar (Field-Tested)@2.94@2.793@11.0@10.78@skinwallet@csdeals@7.84
M4A4 | Tornado (Field-Tested)@0.89@0.8454999999999999@15.0@14.7@skinwallet@csdeals@13.81
MAC-10 | Allure (Factory New)@1.11@1.0545@4.0@3.92@skinwallet@csdeals@2.81
MAC-10 | Button Masher (Factory New)@0.84@0.7979999999999999@13.0@12.74@skinwallet@csdeals@11.9
MAC-10 | Calf Skin (Factory New)@0.47@0.4464999999999999@9.0@8.82@skinwallet@csdeals@8.35
MAC-10 | Disco Tech (Battle-Scarred)@1.15@1.0924999999999998@3.8@3.724@skinwallet@csdeals@2.57
MAC-10 | Disco Tech (Field-Tested)@2.01@1.9095@5.09@4.9882@skinwallet@csdeals@2.98
MAC-10 | Disco Tech (Minimal Wear)@4.06@3.8569999999999993@15.0@14.7@skinwallet@csdeals@10.64
MAC-10 | Lapis Gator (Minimal Wear)@0.44@0.418@15.0@14.7@skinwallet@csdeals@14.26
MAC-10 | Last Dive (Factory New)@1.52@1.444@17.0@16.66@skinwallet@csdeals@15.14
MAC-10 | Neon Rider (Factory New)@8.41@7.9895@12.0@11.76@skinwallet@csdeals@3.35
MAC-10 | Neon Rider (Field-Tested)@4.38@4.161@6.99@6.8502@skinwallet@csdeals@2.47
MAC-10 | Pipe Down (Factory New)@1.22@1.159@11.0@10.78@skinwallet@csdeals@9.56
MAC-10 | Propaganda (Minimal Wear)@13.57@12.8915@23.99@23.5102@skinwallet@csdeals@9.94
MAC-10 | Sakkaku (Well-Worn)@0.61@0.5795@5.0@4.9@skinwallet@csdeals@4.29
MAC-10 | Toybox (Field-Tested)@2.17@2.0615@7.5@7.35@skinwallet@csdeals@5.18
MAC-10 | Whitefish (Factory New)@0.4@0.38@8.0@7.84@skinwallet@csdeals@7.44
MAG-7 | BI83 Spectrum (Factory New)@2.41@2.2895@17.0@16.66@skinwallet@csdeals@14.25
MAG-7 | Cobalt Core (Factory New)@0.31@0.2945@7.0@6.859999999999999@skinwallet@csdeals@6.55
MAG-7 | Core Breach (Field-Tested)@1.1@1.045@4.0@3.92@skinwallet@csdeals@2.82
MAG-7 | Monster Call (Factory New)@1.38@1.311@15.0@14.7@skinwallet@csdeals@13.32
MAG-7 | Petroglyph (Factory New)@1.05@0.9975@6.0@5.88@skinwallet@csdeals@4.83
MAG-7 | Popdog (Factory New)@0.21@0.1994999999999999@6.0@5.88@skinwallet@csdeals@5.67
MP5-SD | Autumn Twilly (Factory New)@3.97@3.7715@14.0@13.72@skinwallet@csdeals@9.75
MP5-SD | Bamboo Garden (Factory New)@1.72@1.634@4.0@3.92@skinwallet@csdeals@2.2
MP5-SD | Co-Processor (Factory New)@0.86@0.817@10.0@9.8@skinwallet@csdeals@8.94
MP5-SD | Desert Strike (Factory New)@0.21@0.1994999999999999@5.0@4.9@skinwallet@csdeals@4.69
MP5-SD | Kitbash (Factory New)@1.01@0.9595@10.0@9.8@skinwallet@csdeals@8.79
MP5-SD | Phosphor (Field-Tested)@2.94@2.793@7.9@7.742@skinwallet@csdeals@4.8
MP5-SD | Phosphor (Minimal Wear)@3.82@3.629@14.0@13.72@skinwallet@csdeals@9.9
MP7 | Abyssal Apparition (Field-Tested)@1.41@1.3395@4.3@4.214@skinwallet@csdeals@2.8
MP7 | Bloodsport (Well-Worn)@1.43@1.3584999999999998@4.7@4.606@skinwallet@csdeals@3.18
MP7 | Cirrus (Factory New)@0.49@0.4654999999999999@8.0@7.84@skinwallet@csdeals@7.35
MP7 | Impire (Factory New)@2.37@2.2515@7.3@7.154@skinwallet@csdeals@4.78
MP7 | Mischief (Minimal Wear)@0.27@0.2565@10.0@9.8@skinwallet@csdeals@9.53
MP7 | Neon Ply (Minimal Wear)@1.75@1.6625@5.2@5.096@skinwallet@csdeals@3.35
MP7 | Ocean Foam (Factory New)@2.85@2.7075@7.0@6.859999999999999@skinwallet@csdeals@4.01
MP9 | Airlock (Field-Tested)@1.2@1.14@4.3@4.214@skinwallet@csdeals@3.01
MP9 | Airlock (Minimal Wear)@2.63@2.4985@9.0@8.82@skinwallet@csdeals@6.19
MP9 | Airlock (Well-Worn)@1.07@1.0165@3.2@3.136@skinwallet@csdeals@2.07
MP9 | Black Sand (Factory New)@0.16@0.152@7.0@6.859999999999999@skinwallet@csdeals@6.7
MP9 | Capillary (Factory New)@0.25@0.2375@6.0@5.88@skinwallet@csdeals@5.63
MP9 | Dart (Field-Tested)@0.26@0.247@10.0@9.8@skinwallet@csdeals@9.54
MP9 | Deadly Poison (Factory New)@1.16@1.102@11.0@10.78@skinwallet@csdeals@9.62
MP9 | Hydra (Well-Worn)@3.11@2.9545@9.8@9.604@skinwallet@csdeals@6.49
MP9 | Sand Scale (Factory New)@0.19@0.1805@8.0@7.84@skinwallet@csdeals@7.65
MP9 | Starlight Protector (Factory New)@21.5@20.425@34.99@34.2902@skinwallet@csdeals@12.79
Negev | Dazzle (Minimal Wear)@0.17@0.1615@8.0@7.84@skinwallet@csdeals@7.67
Negev | Prototype (Factory New)@0.41@0.3894999999999999@8.0@7.84@skinwallet@csdeals@7.43
Negev | Ultralight (Factory New)@0.18@0.1709999999999999@5.0@4.9@skinwallet@csdeals@4.72
Nova | Tempest (Minimal Wear)@4.65@4.4175@13.0@12.74@skinwallet@csdeals@8.09
Nova | Toy Soldier (Factory New)@2.0@1.9@20.0@19.6@skinwallet@csdeals@17.6
Number K | The Professionals@23.1@21.945@29.99@29.3902@skinwallet@csdeals@6.29
Operation Hydra Case@15.97@15.1715@24.99@24.4902@skinwallet@csdeals@8.52
P2000 | Amber Fade (Factory New)@11.21@10.6495@14.0@13.72@skinwallet@csdeals@2.51
P2000 | Amber Fade (Field-Tested)@5.0@4.75@8.65@8.477@skinwallet@csdeals@3.48
P2000 | Gnarled (Factory New)@0.17@0.1615@8.0@7.84@skinwallet@csdeals@7.67
P2000 | Lifted Spirits (Field-Tested)@0.09@0.0854999999999999@9.9@9.702@skinwallet@csdeals@9.61
P2000 | Urban Hazard (Factory New)@0.17@0.1615@9.0@8.82@skinwallet@csdeals@8.65
P250 | Contaminant (Factory New)@0.52@0.494@10.0@9.8@skinwallet@csdeals@9.28
P250 | Contamination (Factory New)@1.69@1.6055@13.0@12.74@skinwallet@csdeals@11.05
P250 | Exchanger (Factory New)@0.88@0.836@9.0@8.82@skinwallet@csdeals@7.94
P250 | Inferno (Factory New)@1.34@1.273@15.0@14.7@skinwallet@csdeals@13.36
P250 | Mint Kimono (Factory New)@2.84@2.698@8.0@7.84@skinwallet@csdeals@5.0
P250 | Mint Kimono (Minimal Wear)@2.21@2.0995@5.0@4.9@skinwallet@csdeals@2.69
P250 | Nevermore (Factory New)@0.88@0.836@3.0@2.94@skinwallet@csdeals@2.06
P250 | Nevermore (Well-Worn)@0.42@0.3989999999999999@4.0@3.92@skinwallet@csdeals@3.5
P250 | Sand Dune (Factory New)@0.21@0.1994999999999999@10.2@9.996@skinwallet@csdeals@9.79
P250 | Verdigris (Factory New)@0.33@0.3135@4.0@3.92@skinwallet@csdeals@3.59
P90 | Asiimov (Minimal Wear)@11.97@11.3715@17.99@17.6302@skinwallet@csdeals@5.66
P90 | Asiimov (Well-Worn)@4.68@4.446@7.99@7.8302@skinwallet@csdeals@3.15
P90 | Cocoa Rampage (Factory New)@0.58@0.5509999999999999@10.0@9.8@skinwallet@csdeals@9.22
P90 | Desert Warfare (Factory New)@2.54@2.413@5.0@4.9@skinwallet@csdeals@2.36
P90 | Facility Negative (Factory New)@0.92@0.874@14.0@13.72@skinwallet@csdeals@12.8
P90 | Grim (Factory New)@0.49@0.4654999999999999@10.0@9.8@skinwallet@csdeals@9.31
P90 | Neoqueen (Battle-Scarred)@1.37@1.3015@50.0@49.0@skinwallet@csdeals@47.63
P90 | Nostalgia (Minimal Wear)@4.59@4.3605@8.73@8.5554@skinwallet@csdeals@3.97
P90 | Off World (Factory New)@0.36@0.3419999999999999@4.0@3.92@skinwallet@csdeals@3.56
P90 | ScaraB Rush (Field-Tested)@8.06@7.657@13.43@13.1614@skinwallet@csdeals@5.1
P90 | Teardown (Factory New)@0.82@0.7789999999999999@13.0@12.74@skinwallet@csdeals@11.92
P90 | Vent Rush (Minimal Wear)@0.87@0.8265@4.0@3.92@skinwallet@csdeals@3.05
PP-Bizon | Bamboo Print (Field-Tested)@1.65@1.5675@4.0@3.92@skinwallet@csdeals@2.27
PP-Bizon | Brass (Factory New)@2.31@2.1945@17.0@16.66@skinwallet@csdeals@14.35
PP-Bizon | Candy Apple (Factory New)@0.17@0.1615@6.0@5.88@skinwallet@csdeals@5.71
PP-Bizon | High Roller (Minimal Wear)@2.83@2.6885@11.0@10.78@skinwallet@csdeals@7.95
PP-Bizon | High Roller (Well-Worn)@1.34@1.273@4.6@4.508@skinwallet@csdeals@3.17
PP-Bizon | Jungle Slipstream (Factory New)@0.23@0.2185@8.0@7.84@skinwallet@csdeals@7.61
PP-Bizon | Photic Zone (Factory New)@1.54@1.463@10.0@9.8@skinwallet@csdeals@8.26
Primeiro Tenente | Brazilian 1st Battalion@6.8@6.46@12.99@12.7302@skinwallet@csdeals@5.93
R8 Revolver | Amber Fade (Factory New)@1.3@1.235@12.0@11.76@skinwallet@csdeals@10.46
R8 Revolver | Crazy 8 (Minimal Wear)@0.86@0.817@4.0@3.92@skinwallet@csdeals@3.06
R8 Revolver | Crimson Web (Factory New)@2.94@2.793@26.0@25.48@skinwallet@csdeals@22.54
R8 Revolver | Junk Yard (Factory New)@0.35@0.3324999999999999@10.0@9.8@skinwallet@csdeals@9.45
R8 Revolver | Llama Cannon (Field-Tested)@2.03@1.9285@6.0@5.88@skinwallet@csdeals@3.85
R8 Revolver | Nitro (Factory New)@0.56@0.532@9.5@9.31@skinwallet@csdeals@8.75
